Name: Passage des Rondeaux, Instruction: Head south on Passage des Rondeaux, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Keep left, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: Rue des Gâtines, Instruction: Turn left onto Rue des Gâtines, Distance: 213.0 meters, Time: 153.4 seconds
Name: -, Instruction: Turn left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Keep right, Distance: 215.7 meters, Time: 155.3 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 453.6 meters, Time: 326.6 seconds
Name: -, Instruction: Keep left, Distance: 393.0 meters, Time: 283.0 seconds
Name: -, Instruction: Keep left, Distance: 201.8 meters, Time: 145.3 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn slight left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 138.7 meters, Time: 99.9 seconds
Name: Place Marie Trintignant, Instruction: Turn left onto Place Marie Trintignant, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: Rue Francine Fromond, Instruction: Turn left onto Rue Francine Fromond, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Arrive at Rue Francine Fromond, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
