Name: Rue Charlot, Instruction: Head east on Rue Charlot, Distance: 84.4 meters, Time: 60.7 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: Rue Jean-Pierre Timbaud, Instruction: Turn left onto Rue Jean-Pierre Timbaud, Distance: 335.9 meters, Time: 241.8 seconds
Name: Rue Jean-Pierre Timbaud, Instruction: Keep left onto Rue Jean-Pierre Timbaud, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Keep right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Keep left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight right, Distance: 135.9 meters, Time: 97.8 seconds
Name: -, Instruction: Keep left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Keep right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Keep left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Keep right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Keep left, Distance: 285.3 meters, Time: 205.4 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight right, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Keep right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Keep right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Keep left, Distance: 107.3 meters, Time: 77.3 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 50.6 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Turn slight left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Keep right, Distance: 154.2 meters, Time: 111.0 seconds
Name: -, Instruction: Keep right, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Keep right, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 3.7 meters, Time: 2.6 seconds
Name: Rue des Panoyaux, Instruction: Turn left onto Rue des Panoyaux, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Arrive at Rue des Panoyaux, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
