Name: Earlswood Street, Instruction: Head south on Earlswood Street, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 183.8 meters, Time: 132.3 seconds
Name: -, Instruction: Keep right, Distance: 156.5 meters, Time: 112.7 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 167.2 meters, Time: 120.4 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
