Name: Ernst-Schneider-Weg, Instruction: Head east on Ernst-Schneider-Weg, Distance: 139.6 meters, Time: 100.5 seconds
Name: Rose-Pichler-Weg, Instruction: Turn right onto Rose-Pichler-Weg, Distance: 44.5 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn right, Distance: 539.0 meters, Time: 388.1 seconds
Name: Anton-Will-Straße, Instruction: Turn left onto Anton-Will-Straße, Distance: 32.5 meters, Time: 23.4 seconds
Name: Ingolstädter Straße, Instruction: Turn right onto Ingolstädter Straße, Distance: 540.1 meters, Time: 388.9 seconds
Name: Ingolstädter Straße, Instruction: Keep left onto Ingolstädter Straße, Distance: 151.3 meters, Time: 108.9 seconds
Name: -, Instruction: Keep left, Distance: 105.3 meters, Time: 75.8 seconds
Name: Wundtstraße, Instruction: Turn right onto Wundtstraße, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 172.9 meters, Time: 124.5 seconds
Name: Paracelsusstraße, Instruction: Turn right onto Paracelsusstraße, Distance: 26.2 meters, Time: 18.9 seconds
Name: Kollwitzstraße, Instruction: Turn left onto Kollwitzstraße, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 535.2 meters, Time: 385.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
