Name: Clarence Street, Instruction: Head south on Clarence Street, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 639.9 meters, Time: 460.7 seconds
Name: -, Instruction: Turn left, Distance: 99.5 meters, Time: 71.6 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 97.7 meters, Time: 70.3 seconds
Name: -, Instruction: Turn right, Distance: 172.7 meters, Time: 124.4 seconds
Name: -, Instruction: Turn slight left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 250.0 meters, Time: 180.0 seconds
Name: -, Instruction: Turn left, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 736.3 meters, Time: 530.1 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
