Name: Peck Seah Street, Instruction: Head south on Peck Seah Street, Distance: 70.0 meters, Time: 50.4 seconds
Name: Gopeng Street, Instruction: Turn left onto Gopeng Street, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 330.8 meters, Time: 238.2 seconds
Name: -, Instruction: Turn slight left, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: South Bridge Road, Instruction: Turn right onto South Bridge Road, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Keep right, Distance: 70.9 meters, Time: 51.0 seconds
Name: South Bridge Road, Instruction: Turn slight right onto South Bridge Road, Distance: 15.1 meters, Time: 10.9 seconds
Name: Erskine Road, Instruction: Turn right onto Erskine Road, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 82.7 meters, Time: 59.6 seconds
Name: Ann Siang Hill, Instruction: Turn left onto Ann Siang Hill, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at Ann Siang Hill, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
