Name: Böglstraße, Instruction: Head west on Böglstraße, Distance: 180.0 meters, Time: 129.6 seconds
Name: -, Instruction: Turn right, Distance: 112.6 meters, Time: 81.1 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn slight left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Keep left, Distance: 9.2 meters, Time: 6.6 seconds
Name: Wilhelm-Hoegner-Straße, Instruction: Turn right onto Wilhelm-Hoegner-Straße, Distance: 403.5 meters, Time: 290.5 seconds
Name: Hans-Pössenbacher-Weg, Instruction: Turn left onto Hans-Pössenbacher-Weg, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: Hans-Schweikart-Straße, Instruction: Turn left onto Hans-Schweikart-Straße, Distance: 131.9 meters, Time: 95.0 seconds
Name: Hans-Schweikart-Straße, Instruction: Turn left onto Hans-Schweikart-Straße, Distance: 56.8 meters, Time: 40.9 seconds
Name: Max-Reinhardt-Weg, Instruction: Turn right onto Max-Reinhardt-Weg, Distance: 18.8 meters, Time: 13.6 seconds
Name: Max-Reinhardt-Weg, Instruction: Turn left onto Max-Reinhardt-Weg, Distance: 86.6 meters, Time: 62.3 seconds
Name: Pasettiweg, Instruction: Turn left onto Pasettiweg, Distance: 77.8 meters, Time: 56.0 seconds
Name: Horwitzstraße, Instruction: Turn left onto Horwitzstraße, Distance: 22.7 meters, Time: 16.4 seconds
Name: Fritz-Kortner-Bogen, Instruction: Turn right onto Fritz-Kortner-Bogen, Distance: 134.6 meters, Time: 96.9 seconds
Name: Therese-Giehse-Allee, Instruction: Turn right onto Therese-Giehse-Allee, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Keep left, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Keep right, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn right, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Turn right, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Continue straight, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn slight right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Keep right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Keep right, Distance: 241.7 meters, Time: 174.0 seconds
Name: -, Instruction: Keep left, Distance: 16.4 meters, Time: 11.8 seconds
Name: Therese-Giehse-Allee, Instruction: Turn right onto Therese-Giehse-Allee, Distance: 14.0 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 126.3 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
