Name: Friedenheimer Brücke, Instruction: Head north on Friedenheimer Brücke, Distance: 105.0 meters, Time: 75.6 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn slight left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Continue straight, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Continue straight, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Continue straight, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Continue straight, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Continue straight, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn left, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Continue straight, Distance: 200.6 meters, Time: 144.4 seconds
Name: -, Instruction: Keep left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Keep right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn slight right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 582.6 meters, Time: 419.4 seconds
Name: Richelstraße, Instruction: Turn right onto Richelstraße, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn right, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
