Name: Entrée Parking Montparnasse Raspail, Instruction: Head southeast on Entrée Parking Montparnasse Raspail, Distance: 27.7 meters, Time: 20.0 seconds
Name: Boulevard du Montparnasse, Instruction: Turn slight left onto Boulevard du Montparnasse, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 264.8 meters, Time: 190.7 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn slight left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Keep right, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 432.0 meters, Time: 311.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.7 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
