Name: Firfield Road, Instruction: Head east on Firfield Road, Distance: 92.1 meters, Time: 66.3 seconds
Name: Palatine Road, Instruction: Turn right onto Palatine Road, Distance: 283.5 meters, Time: 204.1 seconds
Name: -, Instruction: Turn left, Distance: 796.7 meters, Time: 573.6 seconds
Name: Rule Road, Instruction: Turn right onto Rule Road, Distance: 7.1 meters, Time: 5.1 seconds
Name: Victoria Road, Instruction: Turn left onto Victoria Road, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 78.8 meters, Time: 56.7 seconds
Name: Bramley Road, Instruction: Turn right onto Bramley Road, Distance: 5.4 meters, Time: 3.9 seconds
Name: Liberty Street, Instruction: Turn left onto Liberty Street, Distance: 230.4 meters, Time: 165.9 seconds
Name: -, Instruction: Continue straight, Distance: 82.4 meters, Time: 59.3 seconds
Name: Groenewald Road, Instruction: Turn slight right onto Groenewald Road, Distance: 355.0 meters, Time: 255.6 seconds
Name: -, Instruction: Turn left, Distance: 313.3 meters, Time: 225.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
