Name: Hellensteinstraße, Instruction: Head north on Hellensteinstraße, Distance: 533.0 meters, Time: 383.7 seconds
Name: Bruno-Paul-Straße, Instruction: Turn right onto Bruno-Paul-Straße, Distance: 60.4 meters, Time: 43.5 seconds
Name: Bruno-Paul-Straße, Instruction: Keep left onto Bruno-Paul-Straße, Distance: 20.2 meters, Time: 14.5 seconds
Name: Bruno-Paul-Straße, Instruction: Turn left onto Bruno-Paul-Straße, Distance: 50.3 meters, Time: 36.2 seconds
Name: Karl-Caspar-Weg, Instruction: Turn right onto Karl-Caspar-Weg, Distance: 85.7 meters, Time: 61.7 seconds
Name: Richard-Seewald-Bogen, Instruction: Turn slight left onto Richard-Seewald-Bogen, Distance: 76.1 meters, Time: 54.8 seconds
Name: Kastelburgstraße, Instruction: Turn left onto Kastelburgstraße, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Keep left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Keep right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
