Name: Smedley Street, Instruction: Head southwest on Smedley Street, Distance: 67.6 meters, Time: 48.6 seconds
Name: Pallant Street, Instruction: Turn left onto Pallant Street, Distance: 275.3 meters, Time: 198.2 seconds
Name: Funnell Place, Instruction: Turn right onto Funnell Place, Distance: 658.9 meters, Time: 474.4 seconds
Name: -, Instruction: Turn right, Distance: 132.0 meters, Time: 95.0 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 87.0 meters, Time: 62.7 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Keep right, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn right, Distance: 229.8 meters, Time: 165.5 seconds
Name: Barneys Farm Road, Instruction: Turn left onto Barneys Farm Road, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
