Name: Canberra Lane, Instruction: Head northeast on Canberra Lane, Distance: 148.8 meters, Time: 107.2 seconds
Name: Canberra Link, Instruction: Keep right onto Canberra Link, Distance: 6.9 meters, Time: 5.0 seconds
Name: Yishun Park Connector, Instruction: Turn right onto Yishun Park Connector, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 219.1 meters, Time: 157.7 seconds
Name: Simpang Kiri Park Connector, Instruction: Continue straight onto Simpang Kiri Park Connector, Distance: 41.9 meters, Time: 30.1 seconds
Name: -, Instruction: Turn slight right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 398.2 meters, Time: 286.7 seconds
Name: -, Instruction: Turn right, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 405.0 meters, Time: 291.6 seconds
Name: -, Instruction: Turn left, Distance: 149.6 meters, Time: 107.7 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: Yishun Street 21, Instruction: Turn right onto Yishun Street 21, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 234.6 meters, Time: 168.9 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
