Name: Boulevard de Pesaro, Instruction: Head southeast on Boulevard de Pesaro, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn slight right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Keep left, Distance: 168.4 meters, Time: 121.2 seconds
Name: -, Instruction: Keep right, Distance: 98.8 meters, Time: 71.2 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Keep right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 263.0 meters, Time: 189.4 seconds
Name: -, Instruction: Turn slight right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 97.6 meters, Time: 70.3 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Keep right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Keep right, Distance: 62.4 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Keep right, Distance: 131.7 meters, Time: 94.8 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Rue Henri Regnault, Instruction: Turn right onto Rue Henri Regnault, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 163.8 meters, Time: 118.0 seconds
Name: Allée des Vosges, Instruction: Turn left onto Allée des Vosges, Distance: 2.8 meters, Time: 2.0 seconds
Name: Allée des Vosges, Instruction: Keep right onto Allée des Vosges, Distance: 84.0 meters, Time: 60.5 seconds
Name: Place des Vosges, Instruction: Turn left onto Place des Vosges, Distance: 7.2 meters, Time: 5.2 seconds
Name: Place des Vosges, Instruction: Turn right onto Place des Vosges, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.4 seconds
Name: Cours Denis Diderot, Instruction: Turn right onto Cours Denis Diderot, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Continue straight, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Continue straight, Distance: 37.6 meters, Time: 27.1 seconds
Name: Allée Sainte-Odile, Instruction: Turn left onto Allée Sainte-Odile, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: Allée de Picardie, Instruction: Turn right onto Allée de Picardie, Distance: 33.4 meters, Time: 24.0 seconds
Name: Rue Louis Blanc, D 106, Instruction: Turn left onto Rue Louis Blanc, D 106, Distance: 28.3 meters, Time: 20.4 seconds
Name: Allée Debussy, Instruction: Turn right onto Allée Debussy, Distance: 9.6 meters, Time: 6.9 seconds
Name: Rue Louis Blanc, D 106, Instruction: Turn left onto Rue Louis Blanc, D 106, Distance: 82.3 meters, Time: 59.2 seconds
Name: Place Victor Hugo, Instruction: Enter the roundabout and take the 2nd exit onto Place Victor Hugo, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at Place Victor Hugo, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
