Name: Govett Lane, Instruction: Head west on Govett Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: King Street, Instruction: Turn right onto King Street, Distance: 15.7 meters, Time: 11.3 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 187.7 meters, Time: 135.2 seconds
Name: Church Street, Instruction: Enter the roundabout and take the 2nd exit onto Church Street, Distance: 355.7 meters, Time: 256.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 202.8 meters, Time: 146.0 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
