Name: Isoldenstraße, Instruction: Head south on Isoldenstraße, Distance: 226.1 meters, Time: 162.8 seconds
Name: Parzivalstraße, Instruction: Turn right onto Parzivalstraße, Distance: 313.4 meters, Time: 225.6 seconds
Name: Parzivalstraße, Instruction: Keep left onto Parzivalstraße, Distance: 271.6 meters, Time: 195.6 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Parzivalstraße, Instruction: Turn right onto Parzivalstraße, Distance: 357.3 meters, Time: 257.2 seconds
Name: Borschtallee, Instruction: Turn left onto Borschtallee, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn left, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn slight left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep right, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 119.4 meters, Time: 86.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight left, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
