Name: Rue Françoise Gilot, Instruction: Head south on Rue Françoise Gilot, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Place Dalida, Instruction: Turn left onto Place Dalida, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 118.3 meters, Time: 85.2 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Rue de l'Abreuvoir, Instruction: Turn left onto Rue de l'Abreuvoir, Distance: 6.5 meters, Time: 4.7 seconds
Name: Rue des Saules, Instruction: Turn right onto Rue des Saules, Distance: 81.9 meters, Time: 58.9 seconds
Name: Rue Saint-Rustique, Instruction: Turn left onto Rue Saint-Rustique, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 81.0 meters, Time: 58.3 seconds
Name: Place du Tertre, Instruction: Turn right onto Place du Tertre, Distance: 50.3 meters, Time: 36.2 seconds
Name: Place du Calvaire, Instruction: Turn left onto Place du Calvaire, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue du Calvaire, Instruction: Turn right onto Rue du Calvaire, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue Gabrielle, Instruction: Turn left onto Rue Gabrielle, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.8 seconds
Name: Rue Drevet, Instruction: Turn right onto Rue Drevet, Distance: 42.6 meters, Time: 30.7 seconds
Name: Rue Drevet, Instruction: Continue straight onto Rue Drevet, Distance: 41.1 meters, Time: 29.6 seconds
Name: Rue des Trois Frères, Instruction: Turn left onto Rue des Trois Frères, Distance: 236.5 meters, Time: 170.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 58.1 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: Rue Bochart de Saron, Instruction: Turn left onto Rue Bochart de Saron, Distance: 234.5 meters, Time: 168.8 seconds
Name: Rue Condorcet, Instruction: Turn left onto Rue Condorcet, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue Claude-Rodier, Instruction: Turn right onto Rue Claude-Rodier, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 141.2 meters, Time: 101.6 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
