Name: Jalan Loyang Besar, Instruction: Head west on Jalan Loyang Besar, Distance: 320.7 meters, Time: 230.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 324.9 meters, Time: 233.9 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn slight left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 337.9 meters, Time: 243.3 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 164.4 meters, Time: 118.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: Pasir Ris Park Connector, Instruction: Turn right onto Pasir Ris Park Connector, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 146.3 meters, Time: 105.3 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
