Name: JB03, Instruction: Head southwest on JB03, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 403.0 meters, Time: 290.1 seconds
Name: Josephsburgstraße, Instruction: Turn right onto Josephsburgstraße, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn left, Distance: 147.1 meters, Time: 105.9 seconds
Name: Berg-am-Laim-Straße, Instruction: Turn left onto Berg-am-Laim-Straße, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: Berg-am-Laim-Straße, Instruction: Turn left onto Berg-am-Laim-Straße, Distance: 115.2 meters, Time: 82.9 seconds
Name: -, Instruction: Turn right, Distance: 70.7 meters, Time: 50.9 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: Weihenstephaner Straße, Instruction: Turn right onto Weihenstephaner Straße, Distance: 15.6 meters, Time: 11.3 seconds
Name: Streitfeldstraße, Instruction: Turn left onto Streitfeldstraße, Distance: 538.1 meters, Time: 387.4 seconds
Name: Leuchtenbergring, Instruction: Turn right onto Leuchtenbergring, Distance: 532.9 meters, Time: 383.7 seconds
Name: Leuchtenbergring, Instruction: Keep left onto Leuchtenbergring, Distance: 179.0 meters, Time: 128.9 seconds
Name: Prinzregentenstraße, Instruction: Turn sharp right onto Prinzregentenstraße, Distance: 77.3 meters, Time: 55.7 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
