Name: Reminder Lane, Instruction: Head southwest on Reminder Lane, Distance: 44.6 meters, Time: 32.1 seconds
Name: Chandlers Avenue, Instruction: Turn left onto Chandlers Avenue, Distance: 160.8 meters, Time: 115.8 seconds
Name: John Harrison Way, Instruction: Turn right onto John Harrison Way, Distance: 259.0 meters, Time: 186.5 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 175.6 meters, Time: 126.5 seconds
Name: -, Instruction: Turn right, Distance: 269.3 meters, Time: 193.9 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: Tunnel Avenue, Instruction: Turn right onto Tunnel Avenue, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: Blackwall Lane, Instruction: Turn left onto Blackwall Lane, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
