Name: Aklander Rise, Instruction: Head northeast on Aklander Rise, Distance: 484.7 meters, Time: 349.0 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 220.5 meters, Time: 158.7 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 117.4 meters, Time: 84.5 seconds
Name: Murphys Road, Instruction: Turn left onto Murphys Road, Distance: 164.8 meters, Time: 118.6 seconds
Name: Murphys Park Drive, Instruction: Turn right onto Murphys Park Drive, Distance: 314.5 meters, Time: 226.4 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Picturesque Drive, Instruction: Turn right onto Picturesque Drive, Distance: 4.5 meters, Time: 3.2 seconds
Name: Treeline Lane, Instruction: Turn left onto Treeline Lane, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 306.5 meters, Time: 220.7 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Keep left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 62.7 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 66.0 meters, Time: 47.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
