Name: Fir Road, Instruction: Head southwest on Fir Road, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 433.8 meters, Time: 312.4 seconds
Name: -, Instruction: Keep right, Distance: 560.8 meters, Time: 403.7 seconds
Name: Lower Main Road, Instruction: Turn right onto Lower Main Road, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 507.0 meters, Time: 365.0 seconds
Name: -, Instruction: Keep right, Distance: 619.1 meters, Time: 445.7 seconds
Name: Railway Street, Instruction: Turn right onto Railway Street, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Continue straight, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
