Name: Kabardin Street, Instruction: Head northeast on Kabardin Street, Distance: 185.1 meters, Time: 133.3 seconds
Name: Paso Fino Crescent, Instruction: Turn left onto Paso Fino Crescent, Distance: 295.4 meters, Time: 212.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 582.9 meters, Time: 419.7 seconds
Name: -, Instruction: Turn left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
