Name: Govett Lane, Instruction: Head west on Govett Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 147.0 meters, Time: 105.9 seconds
Name: White Street, Instruction: Turn right onto White Street, Distance: 127.0 meters, Time: 91.4 seconds
Name: Wentworth Street, Instruction: Turn left onto Wentworth Street, Distance: 39.5 meters, Time: 28.4 seconds
Name: Challis Street, Instruction: Turn right onto Challis Street, Distance: 106.4 meters, Time: 76.6 seconds
Name: Earl Street, Instruction: Turn left onto Earl Street, Distance: 46.3 meters, Time: 33.4 seconds
Name: Power Lane, Instruction: Turn right onto Power Lane, Distance: 85.5 meters, Time: 61.6 seconds
Name: Castle Lane, Instruction: Turn right onto Castle Lane, Distance: 5.7 meters, Time: 4.1 seconds
Name: Power Lane, Instruction: Turn left onto Power Lane, Distance: 45.2 meters, Time: 32.5 seconds
Name: Power Lane, Instruction: Keep left onto Power Lane, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn slight right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn slight left, Distance: 208.1 meters, Time: 149.8 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 535.9 meters, Time: 385.8 seconds
Name: -, Instruction: Turn slight left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 71.9 meters, Time: 51.8 seconds
Name: Douglas Street, Instruction: Turn left onto Douglas Street, Distance: 233.1 meters, Time: 167.8 seconds
Name: Douglas Street, Instruction: Keep right onto Douglas Street, Distance: 24.4 meters, Time: 17.5 seconds
Name: Douglas Street, Instruction: Enter the roundabout and take the 3rd exit onto Douglas Street, Distance: 94.9 meters, Time: 68.3 seconds
Name: Seaview Street, Instruction: Turn right onto Seaview Street, Distance: 102.4 meters, Time: 73.7 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: Manson Place, Instruction: Turn right onto Manson Place, Distance: 78.0 meters, Time: 56.2 seconds
Name: Knox Street, Instruction: Turn left onto Knox Street, Distance: 50.3 meters, Time: 36.2 seconds
Name: Brandon Street, Instruction: Turn right onto Brandon Street, Distance: 176.4 meters, Time: 127.0 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: Boundary Street, Instruction: Turn left onto Boundary Street, Distance: 88.4 meters, Time: 63.6 seconds
Name: -, Instruction: Arrive at Boundary Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
