Name: Britten Street, Instruction: Head west on Britten Street, Distance: 115.7 meters, Time: 83.3 seconds
Name: Dovehouse Street, Instruction: Turn left onto Dovehouse Street, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 259.4 meters, Time: 186.7 seconds
Name: Old Church Street, Instruction: Turn left onto Old Church Street, Distance: 336.8 meters, Time: 242.5 seconds
Name: Petyt Place, Instruction: Turn right onto Petyt Place, Distance: 86.8 meters, Time: 62.5 seconds
Name: Danvers Street, Instruction: Turn left onto Danvers Street, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: Chelsea Embankment, Instruction: Turn right onto Chelsea Embankment, Distance: 5.5 meters, Time: 3.9 seconds
Name: Battersea Bridge Road, Instruction: Turn left onto Battersea Bridge Road, Distance: 380.9 meters, Time: 274.2 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Keep left, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
