Name: Rue Meilhac, Instruction: Head southeast on Rue Meilhac, Distance: 57.2 meters, Time: 41.2 seconds
Name: Rue Jean Fourastié, Instruction: Turn left onto Rue Jean Fourastié, Distance: 61.0 meters, Time: 43.9 seconds
Name: Rue de l'Amiral Roussin, Instruction: Turn left onto Rue de l'Amiral Roussin, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 72.3 meters, Time: 52.0 seconds
Name: -, Instruction: Turn right, Distance: 137.8 meters, Time: 99.2 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Turn slight right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn slight right, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn slight left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Keep left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 318.4 meters, Time: 229.2 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 248.7 meters, Time: 179.1 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: Place Jacques et Thérèse Tréfouël, Instruction: Keep left onto Place Jacques et Thérèse Tréfouël, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Keep right, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight left, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight left, Distance: 69.4 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
