Name: East Bayaud Avenue, Instruction: Head west on East Bayaud Avenue, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Keep left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Keep right, Distance: 61.7 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 146.5 meters, Time: 105.5 seconds
Name: -, Instruction: Turn left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 64.1 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Turn right, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Turn left, Distance: 166.5 meters, Time: 119.9 seconds
Name: -, Instruction: Turn right, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn left, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
