Name: Murdoch Street, Instruction: Head south on Murdoch Street, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 310.8 meters, Time: 223.7 seconds
Name: Military Road, Instruction: Turn right onto Military Road, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Keep right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight right, Distance: 279.0 meters, Time: 200.9 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 696.7 meters, Time: 501.6 seconds
Name: -, Instruction: Keep right, Distance: 330.9 meters, Time: 238.2 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 245.3 meters, Time: 176.6 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 86.2 meters, Time: 62.0 seconds
Name: Myrtle Street, Instruction: Turn right onto Myrtle Street, Distance: 81.2 meters, Time: 58.5 seconds
Name: Eden Street, Instruction: Turn left onto Eden Street, Distance: 145.9 meters, Time: 105.0 seconds
Name: -, Instruction: Arrive at Eden Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
