Name: Calypso Way, Instruction: Head west on Calypso Way, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 416.7 meters, Time: 300.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 210.5 meters, Time: 151.6 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: Caribbean Drive, Instruction: Turn left onto Caribbean Drive, Distance: 14.5 meters, Time: 10.4 seconds
Name: Target Road, Instruction: Enter the roundabout and take the 3rd exit onto Target Road, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 243.1 meters, Time: 175.0 seconds
Name: -, Instruction: Keep right, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Keep left, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Keep left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight right, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight right, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 425.8 meters, Time: 306.6 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Keep left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
