Name: Wemyss Street, Instruction: Head west on Wemyss Street, Distance: 71.0 meters, Time: 51.1 seconds
Name: Kings Road, Instruction: Turn left onto Kings Road, Distance: 1132.3 meters, Time: 815.2 seconds
Name: River Street, Instruction: Turn right onto River Street, Distance: 44.2 meters, Time: 31.8 seconds
Name: Amsterdam Street, Instruction: Turn left onto Amsterdam Street, Distance: 303.5 meters, Time: 218.5 seconds
Name: -, Instruction: Turn left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Keep right, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 76.2 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 375.5 meters, Time: 270.3 seconds
Name: -, Instruction: Turn right, Distance: 79.2 meters, Time: 57.0 seconds
Name: Industry Road, Instruction: Turn left onto Industry Road, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Arrive at Industry Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
