Name: Floyd Avenue, Instruction: Head east on Floyd Avenue, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 199.2 meters, Time: 143.4 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: Woodycrest Avenue, Instruction: Turn right onto Woodycrest Avenue, Distance: 159.5 meters, Time: 114.9 seconds
Name: -, Instruction: Turn left, Distance: 197.1 meters, Time: 141.9 seconds
Name: Dewhurst Boulevard North, Instruction: Turn right onto Dewhurst Boulevard North, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn left, Distance: 111.8 meters, Time: 80.5 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 361.5 meters, Time: 260.3 seconds
Name: Milverton Boulevard, Instruction: Turn left onto Milverton Boulevard, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 280.1 meters, Time: 201.7 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn left, Distance: 145.1 meters, Time: 104.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
