Name: Lawren Harris Square, Instruction: Head west on Lawren Harris Square, Distance: 167.7 meters, Time: 120.8 seconds
Name: Trolley Crescent, Instruction: Turn left onto Trolley Crescent, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight left, Distance: 242.4 meters, Time: 174.5 seconds
Name: -, Instruction: Keep right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight right, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn slight right, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Keep right, Distance: 266.3 meters, Time: 191.7 seconds
Name: -, Instruction: Turn slight right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight left, Distance: 545.6 meters, Time: 392.8 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
