Name: Praça Santa Cruz, Instruction: Head southeast on Praça Santa Cruz, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Continue straight, Distance: 7.6 meters, Time: 5.5 seconds
Name: Avenida Cesário de Melo, Instruction: Turn right onto Avenida Cesário de Melo, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 126.7 meters, Time: 91.3 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.4 seconds
Name: Terminal Curral Falso, Instruction: Turn right onto Terminal Curral Falso, Distance: 102.5 meters, Time: 73.8 seconds
Name: Rua Fernanda, Instruction: Turn right onto Rua Fernanda, Distance: 2006.6 meters, Time: 1444.7 seconds
Name: Rua Primeira, Instruction: Turn left onto Rua Primeira, Distance: 259.5 meters, Time: 186.8 seconds
Name: -, Instruction: Turn left, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
