Name: Calle Técnicos y Manuales, Instruction: Head north on Calle Técnicos y Manuales, Distance: 73.3 meters, Time: 52.8 seconds
Name: Tercera Cerrada Técnicos y Manuales, Instruction: Turn left onto Tercera Cerrada Técnicos y Manuales, Distance: 505.7 meters, Time: 364.1 seconds
Name: Calle Siracusa, Instruction: Turn right onto Calle Siracusa, Distance: 48.8 meters, Time: 35.2 seconds
Name: Calle Siracusa, Instruction: Continue straight onto Calle Siracusa, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Continue straight, Distance: 13.7 meters, Time: 9.9 seconds
Name: Calle Siracusa, Instruction: Continue straight onto Calle Siracusa, Distance: 219.8 meters, Time: 158.3 seconds
Name: Calle Paseo Bizancio, Instruction: Turn left onto Calle Paseo Bizancio, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Keep right, Distance: 26.1 meters, Time: 18.8 seconds
Name: Calle Paseo Bizancio, Instruction: Turn slight right onto Calle Paseo Bizancio, Distance: 21.0 meters, Time: 15.1 seconds
Name: Calle Siracusa, Instruction: Turn left onto Calle Siracusa, Distance: 226.5 meters, Time: 163.1 seconds
Name: Calle Cinematografistas, Instruction: Turn right onto Calle Cinematografistas, Distance: 220.7 meters, Time: 158.9 seconds
Name: -, Instruction: Turn right, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
