Name: Mandalay Road, Instruction: Head south on Mandalay Road, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 197.0 meters, Time: 141.9 seconds
Name: -, Instruction: Turn right, Distance: 120.1 meters, Time: 86.5 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 56.9 meters, Time: 40.9 seconds
Name: Shrewsbury Road, Instruction: Turn left onto Shrewsbury Road, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 311.4 meters, Time: 224.2 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
