Name: Avenue du Président Kennedy, Instruction: Head southwest on Avenue du Président Kennedy, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 207.5 meters, Time: 149.4 seconds
Name: -, Instruction: Turn slight right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn slight left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue de Boulainvilliers, Instruction: Turn right onto Rue de Boulainvilliers, Distance: 271.7 meters, Time: 195.6 seconds
Name: Rue de Boulainvilliers, Instruction: Keep right onto Rue de Boulainvilliers, Distance: 190.5 meters, Time: 137.2 seconds
Name: Avenue Paul Doumer, Instruction: Turn slight right onto Avenue Paul Doumer, Distance: 19.2 meters, Time: 13.8 seconds
Name: Avenue Paul Doumer, Instruction: Keep left onto Avenue Paul Doumer, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 178.2 meters, Time: 128.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Keep right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 150.9 meters, Time: 108.7 seconds
Name: -, Instruction: Turn slight right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn slight right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: Rue Scheffer, Instruction: Turn left onto Rue Scheffer, Distance: 7.0 meters, Time: 5.1 seconds
Name: Avenue Georges Mandel, Instruction: Turn right onto Avenue Georges Mandel, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at Avenue Georges Mandel, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
