Name: Bucklands Beach Road, Instruction: Head south on Bucklands Beach Road, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 158.8 meters, Time: 114.3 seconds
Name: Waller Avenue, Instruction: Turn left onto Waller Avenue, Distance: 7.2 meters, Time: 5.2 seconds
Name: Gulf Crest, Instruction: Turn right onto Gulf Crest, Distance: 254.8 meters, Time: 183.5 seconds
Name: Gulf Crest, Instruction: Keep right onto Gulf Crest, Distance: 46.7 meters, Time: 33.6 seconds
Name: Clovelly Road, Instruction: Turn right onto Clovelly Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn right, Distance: 774.9 meters, Time: 557.9 seconds
Name: Hostel Access Road, Instruction: Turn right onto Hostel Access Road, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Turn left, Distance: 244.4 meters, Time: 176.0 seconds
Name: -, Instruction: Keep left, Distance: 29.6 meters, Time: 21.3 seconds
Name: Oliver Road, Instruction: Turn slight left onto Oliver Road, Distance: 175.1 meters, Time: 126.1 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
