Name: Huron Street, Instruction: Head north on Huron Street, Distance: 178.9 meters, Time: 128.8 seconds
Name: -, Instruction: Turn left, Distance: 158.6 meters, Time: 114.2 seconds
Name: -, Instruction: Turn right, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 130.6 meters, Time: 94.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Robert Street, Instruction: Turn right onto Robert Street, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 889.6 meters, Time: 640.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
