Name: Prince Regent Lane, A112, Instruction: Head south on Prince Regent Lane, A112, Distance: 39.1 meters, Time: 28.1 seconds
Name: Bennett Road, Instruction: Turn left onto Bennett Road, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 212.3 meters, Time: 152.9 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Keep right, Distance: 30.6 meters, Time: 22.0 seconds
Name: Tollgate Road, Instruction: Turn left onto Tollgate Road, Distance: 74.9 meters, Time: 53.9 seconds
Name: Tollgate Road, Instruction: Keep right onto Tollgate Road, Distance: 83.9 meters, Time: 60.4 seconds
Name: Tollgate Road, Instruction: Turn right onto Tollgate Road, Distance: 307.9 meters, Time: 221.7 seconds
Name: Fulmer Road, Instruction: Turn right onto Fulmer Road, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 126.4 meters, Time: 91.0 seconds
Name: Tollgate Road, Instruction: Turn right onto Tollgate Road, Distance: 79.8 meters, Time: 57.4 seconds
Name: Tollgate Road, Instruction: Turn left onto Tollgate Road, Distance: 294.8 meters, Time: 212.3 seconds
Name: Dewberry Gardens, Instruction: Enter the roundabout and take the 1st exit onto Dewberry Gardens, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Arrive at Dewberry Gardens, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
