Name: Tuas South Street 3, Instruction: Head south on Tuas South Street 3, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 468.7 meters, Time: 337.4 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 433.3 meters, Time: 312.0 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn slight right, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 323.5 meters, Time: 232.9 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.5 seconds
Name: -, Instruction: Turn slight right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 508.5 meters, Time: 366.1 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn slight right, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight right, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
