Name: Rue René Blum, Instruction: Head southeast on Rue René Blum, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn left, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Keep left, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Keep right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep right, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue Davy, Instruction: Keep left onto Rue Davy, Distance: 335.9 meters, Time: 241.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Villa Saint-Michel, Instruction: Turn left onto Villa Saint-Michel, Distance: 162.4 meters, Time: 116.9 seconds
Name: Rue Ganneron, Instruction: Turn right onto Rue Ganneron, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: Avenue des Anglais, Instruction: Turn right onto Avenue des Anglais, Distance: 14.0 meters, Time: 10.1 seconds
Name: Avenue Samson, Instruction: Turn left onto Avenue Samson, Distance: 265.0 meters, Time: 190.8 seconds
Name: Chemin Duc, Instruction: Turn right onto Chemin Duc, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Arrive at Chemin Duc, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
