Name: Rockcliffe Court, Instruction: Head east on Rockcliffe Court, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 242.4 meters, Time: 174.5 seconds
Name: Woolner Avenue, Instruction: Turn left onto Woolner Avenue, Distance: 7.4 meters, Time: 5.3 seconds
Name: Terry Drive, Instruction: Continue straight onto Terry Drive, Distance: 570.5 meters, Time: 410.7 seconds
Name: Symes Road, Instruction: Turn right onto Symes Road, Distance: 250.1 meters, Time: 180.1 seconds
Name: Glen Scarlett Road, Instruction: Continue straight onto Glen Scarlett Road, Distance: 432.1 meters, Time: 311.1 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight left, Distance: 169.8 meters, Time: 122.3 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 202.6 meters, Time: 145.9 seconds
Name: -, Instruction: Turn left, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
