Name: 11th Avenue, Instruction: Head southwest on 11th Avenue, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Keep right, Distance: 11.8 meters, Time: 8.5 seconds
Name: Beret Road, Instruction: Turn right onto Beret Road, Distance: 44.5 meters, Time: 32.0 seconds
Name: Beret Road, Instruction: Turn slight right onto Beret Road, Distance: 29.3 meters, Time: 21.1 seconds
Name: 9th Avenue, Instruction: Turn left onto 9th Avenue, Distance: 324.2 meters, Time: 233.4 seconds
Name: -, Instruction: Turn right, Distance: 80.6 meters, Time: 58.0 seconds
Name: Epping Avenue, Instruction: Turn sharp left onto Epping Avenue, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 68.9 meters, Time: 49.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
