Name: Quakers Road, Instruction: Head southeast on Quakers Road, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 952.3 meters, Time: 685.7 seconds
Name: -, Instruction: Turn left, Distance: 288.0 meters, Time: 207.4 seconds
Name: -, Instruction: Turn left, Distance: 334.1 meters, Time: 240.5 seconds
Name: Richmond Rd Shared Path, Instruction: Turn right onto Richmond Rd Shared Path, Distance: 4.7 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 131.1 meters, Time: 94.4 seconds
Name: -, Instruction: Turn left, Distance: 334.5 meters, Time: 240.8 seconds
Name: Nash Place, Instruction: Turn right onto Nash Place, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at Nash Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
