Name: Rue Sainte-Apolline, Instruction: Head east on Rue Sainte-Apolline, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 90.1 meters, Time: 64.9 seconds
Name: -, Instruction: Keep left, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 144.9 meters, Time: 104.3 seconds
Name: -, Instruction: Turn right, Distance: 142.1 meters, Time: 102.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Keep left, Distance: 16.2 meters, Time: 11.7 seconds
Name: Place Theodor Herzl, Instruction: Turn slight right onto Place Theodor Herzl, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 84.7 meters, Time: 61.0 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 89.1 meters, Time: 64.2 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 284.2 meters, Time: 204.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
