Name: Dick Johnson Drive, Instruction: Head west on Dick Johnson Drive, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 474.4 meters, Time: 341.6 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 201.7 meters, Time: 145.2 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Keep right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Grice Street, Instruction: Turn left onto Grice Street, Distance: 86.3 meters, Time: 62.2 seconds
Name: Chesalon Avenue, Instruction: Turn left onto Chesalon Avenue, Distance: 9.1 meters, Time: 6.5 seconds
Name: Chesalon Avenue, Instruction: Keep right onto Chesalon Avenue, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Arrive at Chesalon Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
