Name: Allison Drive, Instruction: Head northeast on Allison Drive, Distance: 25.9 meters, Time: 18.7 seconds
Name: Giles Close, Instruction: Turn left onto Giles Close, Distance: 169.5 meters, Time: 122.0 seconds
Name: -, Instruction: Turn slight left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 296.3 meters, Time: 213.3 seconds
Name: Kenneth Slessor Drive, Instruction: Turn right onto Kenneth Slessor Drive, Distance: 34.6 meters, Time: 24.9 seconds
Name: Barron Field Drive, Instruction: Turn left onto Barron Field Drive, Distance: 316.0 meters, Time: 227.5 seconds
Name: Woodbrook Grove, Instruction: Turn slight right onto Woodbrook Grove, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight right, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
