Name: Myddleton Road, Instruction: Head west on Myddleton Road, Distance: 165.3 meters, Time: 119.0 seconds
Name: Palmerston Road, Instruction: Turn left onto Palmerston Road, Distance: 253.0 meters, Time: 182.2 seconds
Name: Truro Road, Instruction: Turn slight right onto Truro Road, Distance: 26.8 meters, Time: 19.3 seconds
Name: Finsbury Road, Instruction: Turn slight left onto Finsbury Road, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Keep right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight left, Distance: 409.0 meters, Time: 294.5 seconds
Name: -, Instruction: Keep right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight right, Distance: 18.1 meters, Time: 13.0 seconds
Name: St. Michael's Terrace, Instruction: Turn left onto St. Michael's Terrace, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn right, Distance: 121.8 meters, Time: 87.7 seconds
Name: Alexandra Palace Way, Instruction: Turn left onto Alexandra Palace Way, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Alexandra Palace Way, Instruction: Turn sharp left onto Alexandra Palace Way, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.9 seconds
Name: -, Instruction: Keep right, Distance: 286.1 meters, Time: 206.0 seconds
Name: -, Instruction: Continue straight, Distance: 134.5 meters, Time: 96.8 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
