Name: Maria-Arndts-Straße, Instruction: Head west on Maria-Arndts-Straße, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn slight left, Distance: 112.6 meters, Time: 81.1 seconds
Name: -, Instruction: Turn left, Distance: 150.4 meters, Time: 108.3 seconds
Name: -, Instruction: Turn slight left, Distance: 39.0 meters, Time: 28.0 seconds
Name: Paosostraße, Instruction: Turn sharp right onto Paosostraße, Distance: 19.1 meters, Time: 13.7 seconds
Name: Kuckucksweg, Instruction: Turn left onto Kuckucksweg, Distance: 98.0 meters, Time: 70.6 seconds
Name: Kuckucksweg, Instruction: Continue straight onto Kuckucksweg, Distance: 20.4 meters, Time: 14.7 seconds
Name: Kerschensteinerstraße, Instruction: Turn right onto Kerschensteinerstraße, Distance: 602.8 meters, Time: 434.0 seconds
Name: Aubinger Straße, Instruction: Enter the roundabout and take the 1st exit onto Aubinger Straße, Distance: 110.7 meters, Time: 79.7 seconds
Name: Aubinger Straße, Instruction: Continue straight onto Aubinger Straße, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 190.8 meters, Time: 137.4 seconds
Name: Lacklbrücke, Instruction: Turn right onto Lacklbrücke, Distance: 229.4 meters, Time: 165.1 seconds
Name: -, Instruction: Turn left, Distance: 62.6 meters, Time: 45.1 seconds
Name: Adalbert-Stifter-Platz, Instruction: Turn right onto Adalbert-Stifter-Platz, Distance: 94.9 meters, Time: 68.3 seconds
Name: Adalbert-Stifter-Platz, Instruction: Turn left onto Adalbert-Stifter-Platz, Distance: 68.0 meters, Time: 48.9 seconds
Name: Adalbert-Stifter-Platz, Instruction: Turn right onto Adalbert-Stifter-Platz, Distance: 121.1 meters, Time: 87.2 seconds
Name: Scharnitzer Straße, Instruction: Turn left onto Scharnitzer Straße, Distance: 141.9 meters, Time: 102.2 seconds
Name: -, Instruction: Turn right, Distance: 168.5 meters, Time: 121.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
