Name: St Peter's Road, Instruction: Head east on St Peter's Road, Distance: 100.8 meters, Time: 72.6 seconds
Name: Albert Terrace, Instruction: Turn right onto Albert Terrace, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Great West Road, Instruction: Turn left onto Great West Road, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: Great West Road, Instruction: Keep left onto Great West Road, Distance: 226.2 meters, Time: 162.9 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 97.3 meters, Time: 70.0 seconds
Name: -, Instruction: Keep left, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn slight left, Distance: 81.0 meters, Time: 58.3 seconds
Name: Rutland Grove, Instruction: Continue straight onto Rutland Grove, Distance: 138.7 meters, Time: 99.8 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 75.5 meters, Time: 54.3 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: Hammersmith Bridge Road, Instruction: Turn left onto Hammersmith Bridge Road, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Keep right, Distance: 73.1 meters, Time: 52.6 seconds
Name: Sussex Place, Instruction: Continue straight onto Sussex Place, Distance: 89.2 meters, Time: 64.2 seconds
Name: Queen Caroline Street, Instruction: Turn left onto Queen Caroline Street, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Keep left, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn right, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 178.6 meters, Time: 128.6 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
