Name: Toni-Pfülf-Straße, Instruction: Head northeast on Toni-Pfülf-Straße, Distance: 393.8 meters, Time: 283.5 seconds
Name: -, Instruction: Turn right, Distance: 147.9 meters, Time: 106.5 seconds
Name: Heidelerchenstraße, Instruction: Turn left onto Heidelerchenstraße, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 71.9 meters, Time: 51.7 seconds
Name: Lerchenauer Straße, Instruction: Turn sharp left onto Lerchenauer Straße, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: Lerchenstraße, Instruction: Turn left onto Lerchenstraße, Distance: 142.6 meters, Time: 102.6 seconds
Name: Tagetesstraße, Instruction: Keep right onto Tagetesstraße, Distance: 31.0 meters, Time: 22.3 seconds
Name: Tagetesstraße, Instruction: Turn slight right onto Tagetesstraße, Distance: 203.7 meters, Time: 146.6 seconds
Name: Waldmeisterstraße, Instruction: Turn left onto Waldmeisterstraße, Distance: 162.6 meters, Time: 117.1 seconds
Name: Gundermannstraße, Instruction: Turn right onto Gundermannstraße, Distance: 242.5 meters, Time: 174.6 seconds
Name: -, Instruction: Keep left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Continue straight, Distance: 147.4 meters, Time: 106.2 seconds
Name: Rainfarnstraße, Instruction: Turn left onto Rainfarnstraße, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Arrive at Rainfarnstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
