Name: Kemptener Straße, Instruction: Head north on Kemptener Straße, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 207.6 meters, Time: 149.4 seconds
Name: -, Instruction: Turn slight right, Distance: 7.0 meters, Time: 5.1 seconds
Name: Karl-Wieninger-Weg, Instruction: Turn slight left onto Karl-Wieninger-Weg, Distance: 67.6 meters, Time: 48.7 seconds
Name: Karl-Wieninger-Weg, Instruction: Continue straight onto Karl-Wieninger-Weg, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Turn left, Distance: 228.6 meters, Time: 164.6 seconds
Name: Oberstdorfer Straße, Instruction: Turn slight left onto Oberstdorfer Straße, Distance: 128.7 meters, Time: 92.7 seconds
Name: -, Instruction: Turn left, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Keep right, Distance: 193.9 meters, Time: 139.6 seconds
Name: -, Instruction: Keep right, Distance: 27.2 meters, Time: 19.6 seconds
Name: Bauweberstraße, Instruction: Turn left onto Bauweberstraße, Distance: 119.3 meters, Time: 85.9 seconds
Name: Lechbrucker Straße, Instruction: Turn left onto Lechbrucker Straße, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
