Name: Mortimer Avenue, Instruction: Head west on Mortimer Avenue, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Keep right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn slight right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Keep right, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Keep left, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Keep right, Distance: 278.4 meters, Time: 200.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Queensdale Avenue, Instruction: Turn right onto Queensdale Avenue, Distance: 7.8 meters, Time: 5.6 seconds
Name: Monarch Park Avenue, Instruction: Turn left onto Monarch Park Avenue, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Keep right, Distance: 422.8 meters, Time: 304.4 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn slight right, Distance: 77.4 meters, Time: 55.7 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn slight left, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn slight left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 115.8 meters, Time: 83.4 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
