Name: Norway Avenue, Instruction: Head west on Norway Avenue, Distance: 331.2 meters, Time: 238.5 seconds
Name: Kenilworth Avenue, Instruction: Turn left onto Kenilworth Avenue, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 183.2 meters, Time: 131.9 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Keep left, Distance: 101.1 meters, Time: 72.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 263.8 meters, Time: 189.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 497.3 meters, Time: 358.1 seconds
Name: -, Instruction: Turn right, Distance: 84.7 meters, Time: 61.0 seconds
Name: -, Instruction: Keep right, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Keep left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
