Name: Reutberger Straße, Instruction: Head south on Reutberger Straße, Distance: 37.5 meters, Time: 27.0 seconds
Name: Wackersberger Straße, Instruction: Turn right onto Wackersberger Straße, Distance: 662.2 meters, Time: 476.8 seconds
Name: Kidlerplatz, Instruction: Turn left onto Kidlerplatz, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Keep left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.5 seconds
Name: Plinganserstraße, Instruction: Turn left onto Plinganserstraße, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Turn right, Distance: 39.0 meters, Time: 28.1 seconds
Name: Am Harras, Instruction: Keep right onto Am Harras, Distance: 297.6 meters, Time: 214.2 seconds
Name: -, Instruction: Arrive at Am Harras, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
