Name: Avenue Pierre-Iᵉʳ-de-Serbie, Instruction: Head southwest on Avenue Pierre-Iᵉʳ-de-Serbie, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 121.7 meters, Time: 87.7 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 34.7 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 144.5 meters, Time: 104.1 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn slight left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Place des États-Unis, Instruction: Turn right onto Place des États-Unis, Distance: 7.5 meters, Time: 5.4 seconds
Name: Rue de Belloy, Instruction: Continue straight onto Rue de Belloy, Distance: 332.0 meters, Time: 239.0 seconds
Name: Rue Georges Ville, Instruction: Turn left onto Rue Georges Ville, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight right, Distance: 77.0 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
