Name: Einsteinstraße, Instruction: Head west on Einsteinstraße, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Turn left, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Turn left, Distance: 53.4 meters, Time: 38.4 seconds
Name: Ernst-Reuter-Straße, Instruction: Turn right onto Ernst-Reuter-Straße, Distance: 67.8 meters, Time: 48.8 seconds
Name: Grillparzerstraße, Instruction: Turn left onto Grillparzerstraße, Distance: 328.2 meters, Time: 236.3 seconds
Name: -, Instruction: Keep right, Distance: 27.0 meters, Time: 19.5 seconds
Name: Berg-am-Laim-Straße, Instruction: Turn right onto Berg-am-Laim-Straße, Distance: 520.1 meters, Time: 374.5 seconds
Name: -, Instruction: Turn left, Distance: 212.7 meters, Time: 153.2 seconds
Name: -, Instruction: Turn slight right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Friedenstraße, Instruction: Turn right onto Friedenstraße, Distance: 197.7 meters, Time: 142.4 seconds
Name: Atelierstraße, Instruction: Turn left onto Atelierstraße, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
