Name: Bartil Close, Instruction: Head northwest on Bartil Close, Distance: 107.4 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 102.7 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 40.2 meters, Time: 29.0 seconds
Name: -, Instruction: Continue straight, Distance: 305.4 meters, Time: 219.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 233.8 meters, Time: 168.3 seconds
Name: Crimea Road, Instruction: Turn right onto Crimea Road, Distance: 10.4 meters, Time: 7.5 seconds
Name: Pembroke Road, Instruction: Turn slight left onto Pembroke Road, Distance: 381.5 meters, Time: 274.7 seconds
Name: Pembroke Road, Instruction: Enter the roundabout and take the 2nd exit onto Pembroke Road, Distance: 298.8 meters, Time: 215.1 seconds
Name: Agincourt Road, Instruction: Turn left onto Agincourt Road, Distance: 58.4 meters, Time: 42.1 seconds
Name: Cooinda Close, Instruction: Turn right onto Cooinda Close, Distance: 124.3 meters, Time: 89.5 seconds
Name: Karingal Court, Instruction: Turn right onto Karingal Court, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at Karingal Court, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
