Name: Gerald Crescent, Instruction: Head north on Gerald Crescent, Distance: 168.9 meters, Time: 121.6 seconds
Name: Toole Street, Instruction: Turn left onto Toole Street, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 339.6 meters, Time: 244.5 seconds
Name: -, Instruction: Keep left, Distance: 162.3 meters, Time: 116.9 seconds
Name: Woodcroft Drive, Instruction: Turn left onto Woodcroft Drive, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 301.8 meters, Time: 217.3 seconds
Name: -, Instruction: Turn slight left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn slight right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 228.6 meters, Time: 164.6 seconds
Name: Breakfast Creek Shared Path, Instruction: Turn slight left onto Breakfast Creek Shared Path, Distance: 54.1 meters, Time: 39.0 seconds
Name: Breakfast Creek Shared Path, Instruction: Turn right onto Breakfast Creek Shared Path, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 307.7 meters, Time: 221.6 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
