Name: Bischofshofener Straße, Instruction: Head north on Bischofshofener Straße, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn slight left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep left, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Keep right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Münchner Straße, Instruction: Turn right onto Münchner Straße, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 45.6 meters, Time: 32.8 seconds
Name: Münchner Straße, Instruction: Continue straight onto Münchner Straße, Distance: 90.9 meters, Time: 65.5 seconds
Name: -, Instruction: Turn right, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Keep right, Distance: 377.9 meters, Time: 272.1 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
