Name: Rua Barão da Torre, Instruction: Head west on Rua Barão da Torre, Distance: 787.1 meters, Time: 566.7 seconds
Name: -, Instruction: Turn left, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: Rua Maria Quitéria, Instruction: Turn left onto Rua Maria Quitéria, Distance: 244.9 meters, Time: 176.3 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight right, Distance: 222.0 meters, Time: 159.9 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
