Name: Grenoble Drive, Instruction: Head northwest on Grenoble Drive, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 631.2 meters, Time: 454.4 seconds
Name: -, Instruction: Turn right, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Keep left, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Keep right, Distance: 399.0 meters, Time: 287.3 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 123.1 meters, Time: 88.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
