Name: Bruce Ferguson Avenue, Instruction: Head west on Bruce Ferguson Avenue, Distance: 148.2 meters, Time: 106.7 seconds
Name: Theatre Walk, Instruction: Turn right onto Theatre Walk, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 95.8 meters, Time: 68.9 seconds
Name: -, Instruction: Turn slight right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn slight right, Distance: 79.5 meters, Time: 57.3 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Turn slight right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn slight left, Distance: 101.2 meters, Time: 72.8 seconds
Name: Bardia Avenue, Instruction: Turn right onto Bardia Avenue, Distance: 12.6 meters, Time: 9.0 seconds
Name: Zouch Road, Instruction: Turn right onto Zouch Road, Distance: 250.0 meters, Time: 180.0 seconds
Name: Zouch Road, Instruction: Turn right onto Zouch Road, Distance: 29.8 meters, Time: 21.4 seconds
Name: Zouch Road, Instruction: Continue straight onto Zouch Road, Distance: 340.7 meters, Time: 245.3 seconds
Name: -, Instruction: Turn left, Distance: 95.0 meters, Time: 68.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
