Name: Avenida Ernani Cardoso, Instruction: Head west on Avenida Ernani Cardoso, Distance: 92.4 meters, Time: 66.5 seconds
Name: Rua Mendes de Aguiar, Instruction: Turn right onto Rua Mendes de Aguiar, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 226.3 meters, Time: 162.9 seconds
Name: Rua Curimatá, Instruction: Turn slight left onto Rua Curimatá, Distance: 229.9 meters, Time: 165.5 seconds
Name: Rua Padre Manso, Instruction: Turn right onto Rua Padre Manso, Distance: 103.3 meters, Time: 74.4 seconds
Name: Praça Armando Cruz, Instruction: Keep right onto Praça Armando Cruz, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 78.0 meters, Time: 56.2 seconds
Name: Rua Padre Manso, Instruction: Turn left onto Rua Padre Manso, Distance: 151.9 meters, Time: 109.3 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
